Publication_Year,Decade_Label,Cleaned_Author,Cleaned_Title,Publisher_Location,Publisher_Name,Genre_Type
1791,1790s,"inchbald, elizabeth",next door neighbours; a comedy; in three acts,london,Unknown,comedy
1809,1800s,Unknown,"the traveller; or, the marriage in sicily",london,Unknown,comedy
1788,1780s,"claris de florian, jean pierre",look before you leap. a comedy in one act,london,harrison & co.,comedy
1641,1640s,Unknown,"mercurius britanicus; or, the english intelligencer. a tragic-comedy",london,Unknown,comedy
1788,1780s,sedaine,"a key to the lock, a comedy in two acts",london,Unknown,comedy
1649,1640s,Unknown,"a tragi-comedy called new-market fayre, or a parliament out-cry of state-commodities, set to sale.",london,Unknown,comedy
1791,1790s,Unknown,"a day in turkey. airs, duets, choruses, &c., in the new comedy, called, a day in turkey; or, the russian slaves",london,Unknown,comedy
1700,1700s,Unknown,"caledonia; or, the pedlar turn'd merchant. a tragi-comedy",london,Unknown,comedy
1768,1760s,Unknown,candour: an enquiry into the real merits of the salisbury comedians,london,r. horsfield,comedy
1882,1880s,"harris, richard",the last of the ramshackles. a comedy in three acts,london,hutchings & crowsley,comedy
1880,1880s,"hayes, frederick william","ethel. comedy, in three acts",london,bemrose & sons,comedy
1882,1880s,"hayes, frederick william",five per cent. an original comedietta in one act,london,platrier & sons,comedy
1883,1880s,"hayes, frederick william",a novel idea. comedietta in one act,london,platrier & sons,comedy
1884,1880s,Unknown,"hodge-podge. gladdy and dizzy, or the rivals. a little comedy in two acts",london & edinburgh,william blackwood & sons,comedy
1899,1890s,"hopwood, aubrey",the merry-go-round. musical comedy,london,francis day & hunter,comedy
1876,1870s,"lee, harold","on the indian ocean: comedietta, in one act",liverpool,Unknown,comedy
1895,1890s,"raleigh, walter alexander",the riddle. a pleasant pastoral comedy,liverpool,d. marples & co.,comedy
1867,1860s,"robertson, thomas william","caste: an original comedy, etc.",Unknown,Unknown,comedy
1869,1860s,"robertson, thomas william","home. a comedy, etc.",Unknown,Unknown,comedy
1870,1870s,"robertson, thomas william","a new and original comedy, later entitled “birth”, in three acts",Unknown,Unknown,comedy
1870,1870s,"robertson, thomas william","“ours”: an original comedy, etc.",Unknown,Unknown,comedy
1896,1890s,"carlton, sidney","monte carlo, a musical comedy.",london,hopwood & crew,comedy
1773,1770s,"fagan, christophe barthélemi",the guardian: a comedy of two acts,london,Unknown,comedy
1894,1890s,"ross, adrian",go-bang. a musical farcical comedy in two acts,london,j. williams,comedy
1894,1890s,"ross, adrian",morocco bound. a musical farcical comedy.,london,j. williams,comedy
1894,1890s,"watson, t. malcolm","tally ho! a comedietta, etc.",london,j. williams,comedy
1768,1760s,Unknown,amelia. a musical entertainment of two acts,london,j. dodsley & w. johnston,comedy
1789,1780s,"kemble, john philip",the farm house; a comedy in three acts,london,Unknown,comedy
1808,1800s,"tobin, john","the school for authors: a comedy, in three acts etc.",london,Unknown,comedy
1823,1820s,Unknown,"the petition of an old uninhabited house in penzance to its master in town: with hints to the author of john bull, a comedy",penzance,t. vigurs,comedy
1899,1890s,"mew, egan","a london comedy, etc. (second edition.)",london,e. mathews,comedy
1761,1760s,"murphy, arthur","the old maid. a comedy in two acts, etc.",london,printed for p. vaillant,comedy
1696,1690s,Unknown,"she ventures, and he wins. a comedy",london,for hen. rhodes etc.,comedy
1651,1650s,Unknown,"πλουτοφθαλμια πλουτογαμια. a pleasant comedie, entituled hey for honesty, down with knavery",london,Unknown,comedy
1809,1800s,"arnold, samuel james","man and wife; or, more secrets than one: a comedy, in five acts, etc.",london,richard phillips,comedy
1809,1800s,"arnold, samuel james","man and wife; or, more secrets than one: a comedy, in five acts, etc.",london,richard phillips,comedy
1809,1800s,"arnold, samuel james","man and wife; or, more secrets than one: a comedy, in five acts, etc.",london,richard phillips,comedy
1856,1850s,"arundell, william arundell harris",the contested election. a comedy in three acts,lauceston,e. maddox,comedy
1744,1740s,Unknown,the astrologer; a comedy,london,m. cooper,comedy
1647,1640s,"brewer, anthony",the countrie girle. a comedie,london,for a. r.,comedy
1869,1860s,Unknown,"the whimsical bachelor, or married at last. a comedy in two acts",penzance,b. downing,comedy
1890,1890s,"bain, francis william",dmitri: a tragi comedy,london,percival & co.,comedy
1871,1870s,"broome, mary anne","spring comedies, etc.",london & new york,macmillan & co.,comedy
1815,1810s,"barrett, eaton stannard","“my wife! what wife?” a comedy, in three acts",london,c. chapple,comedy
1818,1810s,"aubigny, m. d'","the green man: a comedy, in three acts",london,william fearman,comedy
1651,1650s,"beaumont, francis",the elder brother: a comedie,london,for humphrey moseley,comedy
1639,1630s,"beaumont, francis",wit without money. a comedie,london,thomas cotes for andrew crooke & william cooke,comedy
1648,1640s,"beaumont, francis",the woman hater,london,for h. moseley,comedy
1685,1680s,Unknown,"the mistaken beauty, or, the lyar. a comedy",london,for simon neale,comedy
1682,1680s,"behn, aphra","the city-heiress: or, sir timothy treat-all. a comedy",london,d. brown etc.,comedy
1698,1690s,"behn, aphra","the city-heiress: or, sir timothy treat-all. a comedy",london,richard wellington,comedy
1671,1670s,"behn, aphra","the forc'd marriage; or, the jealous bridegroom; a tragi-comedy",london,h. l. & r. b. for james magnus,comedy
1687,1680s,"behn, aphra","the lucky chance, or an alderman's bargain. a comedy",london,r. h. for w. canning,comedy
1690,1690s,"behn, aphra","the widdow ranter, or, the history of bacon in virginia. a tragi-comedy",london,james knapton,comedy
1890,1890s,"bell, florence eveleen eleanore",chamber comedies. a collection of plays and monologues for the drawing room,london,longmans & co.,comedy
1844,1840s,"bell, robert","mothers and daughters: a comedy in five acts, etc.",london,john mortimer,comedy
1670,1670s,"boothby, frances","marcelia: or, the treacherous friend. a tragicomedy, etc.",london,for will. cademan & giles widdowes,comedy
1841,1840s,"boucicault, dion","london assurance, a comedy, in five acts",london,printed for the author,comedy
1897,1890s,"brewer, john francis",the speculators. a comedy,london,methuen & co.,comedy
1677,1670s,Unknown,"the counterfeit bridegroom: or, the defeated widow. a comedy",london,for langley curtiss,comedy
1893,1890s,"bridges, robert",the humours of the court: a comedy; and other poems,boston,g. bell & sons.,comedy
1657,1650s,"brome, richard","the queenes exchange, a comedy, etc.",london,for henry brome,comedy
1640,1640s,"brome, richard",the sparagus garden: a comedie,london,j. okes for francis constable,comedy
1834,1830s,"bunn, alfred","the minister and the mercer. a comedy, in five acts, etc.",london,john miller,comedy
1665,1660s,"carpenter, richard",a new play call'd the pragmatical jesuit newleven'd. a comedy,london,for n. r.,comedy
1708,1700s,"centlivre, susanna","the gamester: a comedy, etc.",Unknown,Unknown,comedy
1671,1670s,"caryl, john","sir salomon; or, the cautious coxcomb; a comedy",london,Unknown,comedy
1677,1670s,"cavendish, william","the triumphant widow, or the medley of humours. a comedy",london,j. m. for h. herringman,comedy
1658,1650s,"chamberlaine, william",loves victory: a tragi-comedy,london,printed by e. cotes; sold by robert clavell,comedy
1806,1800s,"chambers, marianne","the school for friends, a comedy, in five acts, etc.",london,barker & son,comedy
1612,1610s,"chapman, george",the widdowes teares. a comedie,london,for iohn browne,comedy
1639,1630s,"chapman, george",the ball. a comedy,london,tho. cotes for andrew crooke and william cooke,comedy
1671,1670s,Unknown,the cheats. a comedy,london,for t. collins & john ford,comedy
1684,1680s,Unknown,the cheats. a comedy,london,j. rawlins for j. wright etc.,comedy
1804,1800s,"cherry, andrew","the soldier's daughter; a comedy in five acts, etc.",london,richard phillips,comedy
1804,1800s,"cherry, andrew","the soldier's daughter; a comedy in five acts, etc.",london,richard phillips,comedy
1705,1700s,"cibber, colley","the careless husband. a comedy, etc.",london,w. davis,comedy
1811,1810s,"clarke, stephen reynolds","the kiss, a comedy, in five acts, etc.",london,longman & co.,comedy
1657,1650s,"cokayne, aston","the obstinate lady; a new comedy, etc.",london,w. godbid for isaac pridmore,comedy
1878,1870s,"collins, edward james mortimer",the village comedy,london,hurst & blackett,comedy
1806,1800s,"colman, george",the poor gentleman; a comedy,london,longman & co.,comedy
1605,1600s,Unknown,"a pleasant conceited comedie, wherein is shewed how a man may chuse a good wife from a bad",london,mathew law,comedy
1630,1630s,Unknown,"a pleasant conceited comedie, wherein is shewed how a man may chuse a good wife from a bad",london,printed by i. n. [john norton]; sold by hugh perrie,comedy
1895,1890s,"congreve, william",the comedies of william congreve,london,methuen & co.,comedy
1732,1730s,Unknown,"the country 'squire: or, a christmas gambol. a comedy",london,j. wilford,comedy
1704,1700s,"crawfurd, david","love at first sight. a comedy, etc.",london,r. basset; william turner; john chantry,comedy
1895,1890s,"creswick, paul",the miracle. a comedy of sentiment,london,sandes & co.,comedy
1896,1890s,"crommelin, maria henrietta de la cherois",half round the world for a husband. a comedy of errors,london,t. fisher unwin,comedy
1820,1820s,"cromwell, thomas kitson","honour; or, arrivals from college: a comedy, in three acts, etc.",london,thomas davison,comedy
1675,1670s,"crown, john","the countrey wit. a comedy, etc.",london,for james magnes & richard bentley,comedy
1690,1690s,"crown, john","the cnglish (sic) frier: or, the town sparks. a comedy, etc.",london,james knapton,comedy
1694,1690s,"crown, john","the married beau or, the curious impertinent, a comedy, etc.",london,richard bentley,comedy
1685,1680s,"crown, john","sir courtly nice: or, it cannot be. a comedy, etc.",london,h. h. jun. for r. bently; jos. hindmarsh,comedy
1775,1770s,"cumberland, richard","the choleric man. a comedy, etc.",london,t. becket,comedy
1772,1770s,"cumberland, richard","the fashionable lover; a comedy, etc.",london,w. griffin,comedy
1772,1770s,"cumberland, richard","the fashionable lover; a comedy, etc.",london,w. griffin,comedy
1806,1800s,"cumberland, richard","a hint to husbands: a comedy, etc.",london,lackington allen & co.,comedy
