Decade_Label,Continental,Colonial,Oriental,Total_Geo_Mentions,Pct_Continental,Pct_Colonial,Pct_Oriental
1600s,0,1,0,1,0.0,1.0,0.0
1620s,2,0,0,2,1.0,0.0,0.0
1630s,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
1640s,2,1,0,3,0.6666666666666666,0.3333333333333333,0.0
1650s,2,2,0,4,0.5,0.5,0.0
1660s,4,1,0,5,0.8,0.2,0.0
1670s,13,2,4,19,0.6842105263157895,0.10526315789473684,0.21052631578947367
1680s,5,0,3,8,0.625,0.0,0.375
1690s,10,4,2,16,0.625,0.25,0.125
1700s,3,1,0,4,0.75,0.25,0.0
1720s,1,0,0,1,1.0,0.0,0.0
1730s,1,0,0,1,1.0,0.0,0.0
1740s,0,0,1,1,0.0,0.0,1.0
1750s,5,0,0,5,1.0,0.0,0.0
1760s,0,1,0,1,0.0,1.0,0.0
1770s,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
1780s,2,2,1,5,0.4,0.4,0.2
1790s,7,1,3,11,0.6363636363636364,0.09090909090909091,0.2727272727272727
1800s,4,3,1,8,0.5,0.375,0.125
1810s,6,4,3,13,0.46153846153846156,0.3076923076923077,0.23076923076923078
1820s,9,0,4,13,0.6923076923076923,0.0,0.3076923076923077
1830s,3,2,0,5,0.6,0.4,0.0
1840s,1,1,0,2,0.5,0.5,0.0
1850s,4,2,2,8,0.5,0.25,0.25
1860s,0,1,0,1,0.0,1.0,0.0
1870s,2,3,1,6,0.3333333333333333,0.5,0.16666666666666666
1880s,5,0,1,6,0.8333333333333334,0.0,0.16666666666666666
1890s,15,1,2,18,0.8333333333333334,0.05555555555555555,0.1111111111111111
